parameter,shape,volume,sparse volume,sparsity level
module.conv1.weight,"(16, 3, 3, 3)",432,432,0.0
module.layer1.0.conv1.weight,"(16, 16, 3, 3)",2304,2304,0.0
module.layer1.0.conv2.weight,"(16, 16, 3, 3)",2304,1584,31.25
module.layer1.1.conv1.weight,"(16, 16, 3, 3)",2304,2304,0.0
module.layer1.1.conv2.weight,"(16, 16, 3, 3)",2304,1152,50.0
module.layer1.2.conv1.weight,"(16, 16, 3, 3)",2304,2304,0.0
module.layer1.2.conv2.weight,"(16, 16, 3, 3)",2304,1152,50.0
module.layer2.0.conv1.weight,"(32, 16, 3, 3)",4608,4608,0.0
module.layer2.0.conv2.weight,"(32, 32, 3, 3)",9216,6624,28.125
module.layer2.0.downsample.0.weight,"(32, 16, 1, 1)",512,512,0.0
module.layer2.1.conv1.weight,"(32, 32, 3, 3)",9216,9216,0.0
module.layer2.1.conv2.weight,"(32, 32, 3, 3)",9216,5184,43.75
module.layer2.2.conv1.weight,"(32, 32, 3, 3)",9216,9216,0.0
module.layer2.2.conv2.weight,"(32, 32, 3, 3)",9216,9216,0.0
module.layer3.0.conv1.weight,"(64, 32, 3, 3)",18432,18432,0.0
module.layer3.0.conv2.weight,"(64, 64, 3, 3)",36864,29376,20.3125
module.layer3.0.downsample.0.weight,"(64, 32, 1, 1)",2048,2048,0.0
module.layer3.1.conv1.weight,"(64, 64, 3, 3)",36864,36864,0.0
module.layer3.1.conv2.weight,"(64, 64, 3, 3)",36864,29952,18.75
module.layer3.2.conv1.weight,"(64, 64, 3, 3)",36864,36864,0.0
module.layer3.2.conv2.weight,"(64, 64, 3, 3)",36864,36864,0.0
module.fc.weight,"(10, 64)",640,640,0.0
